#date,time,name,appointedType,baseLabelName,[number],item,unit,value,status,[number],item,unit,value,status,[number],item,unit,value,status,[number],item,unit,value,status,[number],item,unit,value,status,[number],item,unit,value,status,[number],item,unit,value,status,[number],item,unit,value,status,[number],item,unit,value,status,[number],item,unit,value,status,,,
7/5/2015,02:30-02:45,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-52.8,,[8],RX LEV1(MAX) [dBm],,-51.8,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.3,-0.3,2:45
7/5/2015,02:45-03:00,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-52.8,,[8],RX LEV1(MAX) [dBm],,-51.7,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.25,-0.25,3:00
7/5/2015,03:00-03:15,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-52.8,,[8],RX LEV1(MAX) [dBm],,-51.5,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.15,-0.15,3:15
7/5/2015,03:15-03:30,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-52.8,,[8],RX LEV1(MAX) [dBm],,-51.9,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.35,-0.35,3:30
7/5/2015,03:30-03:45,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-52.8,,[8],RX LEV1(MAX) [dBm],,-51.9,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.35,-0.35,3:45
7/5/2015,03:45-04:00,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-52.8,,[8],RX LEV1(MAX) [dBm],,-51.9,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.35,-0.35,4:00
7/5/2015,04:00-04:15,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-53,,[8],RX LEV1(MAX) [dBm],,-51.8,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.4,-0.4,4:15
7/5/2015,04:15-04:30,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-53,,[8],RX LEV1(MAX) [dBm],,-51.8,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.4,-0.4,4:30
7/5/2015,04:30-04:45,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-53.2,,[8],RX LEV1(MAX) [dBm],,-51.9,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.55,-0.55,4:45
7/5/2015,04:45-05:00,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-53.1,,[8],RX LEV1(MAX) [dBm],,-51.8,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.45,-0.45,5:00
7/5/2015,05:00-05:15,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-53.5,,[8],RX LEV1(MAX) [dBm],,-51.8,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.65,-0.65,5:15
7/5/2015,05:15-05:30,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-53.8,,[8],RX LEV1(MAX) [dBm],,-51.8,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.8,-0.8,5:30
7/5/2015,05:30-05:45,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-53.7,,[8],RX LEV1(MAX) [dBm],,-51.5,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.6,-0.6,5:45
7/5/2015,05:45-06:00,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-53.4,,[8],RX LEV1(MAX) [dBm],,-51.5,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.45,-0.45,6:00
7/5/2015,06:00-06:15,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-53.2,,[8],RX LEV1(MAX) [dBm],,-51.8,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.5,-0.5,6:15
7/5/2015,06:15-06:30,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-52.8,,[8],RX LEV1(MAX) [dBm],,-51.5,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.15,-0.15,6:30
7/5/2015,06:30-06:45,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-53.2,,[8],RX LEV1(MAX) [dBm],,-51.4,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.3,-0.3,6:45
7/5/2015,06:45-07:00,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-53.5,,[8],RX LEV1(MAX) [dBm],,-51.2,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.35,-0.35,7:00
7/5/2015,07:00-07:15,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-52.5,,[8],RX LEV1(MAX) [dBm],,-51.2,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-51.85,0.15,7:15
7/5/2015,07:15-07:30,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-53,,[8],RX LEV1(MAX) [dBm],,-51.8,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.4,-0.4,7:30
7/5/2015,07:30-07:45,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-53.4,,[8],RX LEV1(MAX) [dBm],,-51.5,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.45,-0.45,7:45
7/5/2015,07:45-08:00,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-52.7,,[8],RX LEV1(MAX) [dBm],,-51.8,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.25,-0.25,8:00
7/5/2015,08:00-08:15,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-53.1,,[8],RX LEV1(MAX) [dBm],,-51.7,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.4,-0.4,8:15
7/5/2015,08:15-08:30,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-53.2,,[8],RX LEV1(MAX) [dBm],,-52.1,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.65,-0.65,8:30
7/5/2015,08:30-08:45,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-53.1,,[8],RX LEV1(MAX) [dBm],,-52.1,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.6,-0.6,8:45
7/5/2015,08:45-09:00,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-53.2,,[8],RX LEV1(MAX) [dBm],,-52.1,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.65,-0.65,9:00
7/5/2015,09:00-09:15,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-53.1,,[8],RX LEV1(MAX) [dBm],,-52.2,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.65,-0.65,9:15
7/5/2015,09:15-09:30,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-53.1,,[8],RX LEV1(MAX) [dBm],,-52.4,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.75,-0.75,9:30
7/5/2015,09:30-09:45,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-53.4,,[8],RX LEV1(MAX) [dBm],,-52.4,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.9,-0.9,9:45
7/5/2015,09:45-10:00,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-53.4,,[8],RX LEV1(MAX) [dBm],,-52.2,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.8,-0.8,10:00
7/5/2015,10:00-10:15,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-53.4,,[8],RX LEV1(MAX) [dBm],,-52.4,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.9,-0.9,10:15
7/5/2015,10:15-10:30,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-53.4,,[8],RX LEV1(MAX) [dBm],,-52.5,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.95,-0.95,10:30
7/5/2015,10:30-10:45,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-53.4,,[8],RX LEV1(MAX) [dBm],,-52.5,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.95,-0.95,10:45
7/5/2015,10:45-11:00,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-53.5,,[8],RX LEV1(MAX) [dBm],,-52.5,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-53,-1,11:00
7/5/2015,11:00-11:15,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-53.4,,[8],RX LEV1(MAX) [dBm],,-52.7,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-53.05,-1.05,11:15
7/5/2015,11:15-11:30,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-53.5,,[8],RX LEV1(MAX) [dBm],,-52.7,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-53.1,-1.1,11:30
7/5/2015,11:30-11:45,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-53.5,,[8],RX LEV1(MAX) [dBm],,-52.7,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-53.1,-1.1,11:45
7/5/2015,11:45-12:00,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-53.4,,[8],RX LEV1(MAX) [dBm],,-52.7,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-53.05,-1.05,12:00
7/5/2015,12:00-12:15,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-53.1,,[8],RX LEV1(MAX) [dBm],,-52.5,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.8,-0.8,12:15
7/5/2015,12:15-12:30,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-53,,[8],RX LEV1(MAX) [dBm],,-52.4,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.7,-0.7,12:30
7/5/2015,12:30-12:45,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-52.8,,[8],RX LEV1(MAX) [dBm],,-52.2,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.5,-0.5,12:45
7/5/2015,12:45-13:00,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-53,,[8],RX LEV1(MAX) [dBm],,-52.2,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.6,-0.6,13:00
7/5/2015,13:00-13:15,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-53.1,,[8],RX LEV1(MAX) [dBm],,-52.4,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.75,-0.75,13:15
7/5/2015,13:15-13:30,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-53.1,,[8],RX LEV1(MAX) [dBm],,-52.2,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.65,-0.65,13:30
7/5/2015,13:30-13:45,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-53,,[8],RX LEV1(MAX) [dBm],,-52.1,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.55,-0.55,13:45
