Date Time,RelativeHumidity (% RH),Temperature (0°C ),rain rate (mm/hr),SpecificAttennuation(dB/km),TotalAttenuation(dB)
1/1/2019 19:00,33.8,21.5,0,0,0
1/1/2019 19:15,35.9,21.3,0,0,0
1/1/2019 19:30,37.4,20.9,0,0,0
1/1/2019 19:45,38.4,20.6,0,0,0
1/1/2019 20:00,39.7,20.3,0,0,0
1/1/2019 20:15,41.3,19.8,0,0,0
1/1/2019 20:30,41.6,19.7,0,0,0
1/1/2019 20:45,42.4,19.5,0,0,0
1/1/2019 21:00,43.5,19.5,0,0,0
1/1/2019 21:15,44.9,19.2,0,0,0
1/1/2019 21:30,45.3,19.2,0,0,0
1/1/2019 21:45,45.1,19.1,0,0,0
1/1/2019 22:00,45.5,18.9,0,0,0
1/1/2019 22:15,45.4,18.8,0,0,0
1/1/2019 22:30,45.3,18.7,0,0,0
1/1/2019 22:45,46.8,18.2,0,0,0
1/1/2019 23:00,47.8,18,0,0,0
1/1/2019 23:15,49.2,17.9,0,0,0
1/1/2019 23:30,50.4,18.3,0,0,0
1/1/2019 23:45,51.1,18.4,0,0,0
1/2/2019 0:00,51,18.6,0,0,0
1/2/2019 0:15,50.3,18.9,0,0,0
1/2/2019 0:30,49.8,18.9,0,0,0
1/2/2019 0:45,49.7,18.9,0,0,0
1/2/2019 1:00,49.9,18.8,0,0,0
1/2/2019 1:15,50.8,18.5,0,0,0
1/2/2019 1:30,52.6,17.9,0,0,0
1/2/2019 1:45,54.2,17.3,0,0,0
1/2/2019 2:00,56.6,16.4,0,0,0
1/2/2019 2:15,57.7,15.9,0,0,0
1/2/2019 2:30,58,15.9,0,0,0
1/2/2019 2:45,58.6,15.7,0,0,0
1/2/2019 3:00,58.4,15.7,0,0,0
1/2/2019 3:15,58.6,15.7,0,0,0
1/2/2019 3:30,60.3,15.2,0,0,0
1/2/2019 3:45,61.2,14.9,0,0,0
1/2/2019 4:00,62.1,14.8,0,0,0
1/2/2019 4:15,61.7,14.9,0,0,0
1/2/2019 4:30,61.8,14.9,0,0,0
1/2/2019 4:45,61.3,15,0,0,0
1/2/2019 5:00,61.7,15,0,0,0
1/2/2019 5:15,62,14.8,0,0,0
1/2/2019 5:30,63.6,14.3,0,0,0
1/2/2019 5:45,64.3,14.1,0,0,0
1/2/2019 6:00,65.6,13.8,0,0,0
1/2/2019 6:15,65.4,13.9,0,0,0
1/2/2019 6:30,64.9,14,0,0,0
1/2/2019 6:45,65.1,14,0,0,0
1/2/2019 7:00,64.5,14.3,0,0,0
1/2/2019 7:15,62.3,15.1,0,0,0
1/2/2019 7:30,58.8,16.3,0,0,0
1/2/2019 7:45,55.3,17.6,0,0,0
1/2/2019 8:00,52.6,18.4,0,0,0
1/2/2019 8:15,50.9,18.9,0,0,0
1/2/2019 8:30,49.8,19.3,0,0,0
1/2/2019 8:45,48.6,19.6,0,0,0
1/2/2019 9:00,47.6,19.9,0,0,0
1/2/2019 9:15,45.8,20.6,0,0,0
1/2/2019 9:30,44.1,21,0,0,0
1/2/2019 9:45,42.5,21.6,0,0,0
1/2/2019 10:00,42,21.8,0,0,0
1/2/2019 10:15,40.6,22.5,0,0,0
1/2/2019 10:30,39.5,22.8,0,0,0
1/2/2019 10:45,38.2,23.3,0,0,0
1/2/2019 11:00,37,23.4,0,0,0
1/2/2019 11:15,35.8,23.9,0,0,0
1/2/2019 11:30,33.8,24.3,0,0,0
1/2/2019 11:45,32.8,24.5,0,0,0
1/2/2019 12:00,32.5,24.9,0,0,0
1/2/2019 12:15,31.6,25.1,0,0,0
1/2/2019 12:30,30.7,25.6,0,0,0
1/2/2019 12:45,28.9,26,0,0,0
1/2/2019 13:00,29.1,26,0,0,0
1/2/2019 13:15,28.4,26.3,0,0,0
1/2/2019 13:30,27,26.6,0,0,0
1/2/2019 13:45,26,26.4,0,0,0
1/2/2019 14:00,24.8,26.8,0,0,0
1/2/2019 14:15,24.4,27.1,0,0,0
1/2/2019 14:30,24.2,27.2,0,0,0
1/2/2019 14:45,23.4,27.3,0,0,0
1/2/2019 15:00,23,27.3,0,0,0
1/2/2019 15:15,22.3,27.6,0,0,0
1/2/2019 15:30,22.4,27.2,0,0,0
1/2/2019 15:45,22.7,27.2,0,0,0
1/2/2019 16:00,22.7,27.1,0,0,0
1/2/2019 16:15,23.1,27.1,0,0,0
1/2/2019 16:30,23.2,26.7,0,0,0
1/2/2019 16:45,23.7,26.6,0,0,0
1/2/2019 17:00,24.8,26.3,0,0,0
1/2/2019 17:15,25.1,25.9,0,0,0
1/2/2019 17:30,25.9,25.5,0,0,0
1/2/2019 17:45,26.1,25,0,0,0
1/2/2019 18:00,27.4,24.4,0,0,0
1/2/2019 18:15,28.6,23.9,0,0,0
1/2/2019 18:30,30.2,23.4,0,0,0
1/2/2019 18:45,32,23.1,0,0,0
1/2/2019 19:00,33,22.8,0,0,0
1/2/2019 19:15,33.8,22.5,0,0,0
1/2/2019 19:30,34.8,22.4,0,0,0
1/2/2019 19:45,36,22.1,0,0,0
1/2/2019 20:00,37.3,21.6,0,0,0
1/2/2019 20:15,38,21.3,0,0,0
1/2/2019 20:30,38.8,21.1,0,0,0
1/2/2019 20:45,39.7,20.7,0,0,0
1/2/2019 21:00,40.5,20.3,0,0,0
1/2/2019 21:15,40.9,20.1,0,0,0
1/2/2019 21:30,41.1,19.7,0,0,0
1/2/2019 21:45,41.5,19.4,0,0,0
1/2/2019 22:00,41.2,19.3,0,0,0
1/2/2019 22:15,40.5,19.2,0,0,0
1/2/2019 22:30,40.5,19.1,0,0,0
1/2/2019 22:45,41.2,18.8,0,0,0
1/2/2019 23:00,41.8,18.7,0,0,0
1/2/2019 23:15,42.3,18.6,0,0,0
1/2/2019 23:30,42,18.6,0,0,0
1/2/2019 23:45,40.2,19,0,0,0
1/3/2019 0:00,38.8,19.5,0,0,0
1/3/2019 0:15,38.5,19.9,0,0,0
1/3/2019 0:30,39.7,19.6,0,0,0
1/3/2019 0:45,40.6,19.1,0,0,0
1/3/2019 1:00,41.3,19,0,0,0
1/3/2019 1:15,43,18.4,0,0,0
1/3/2019 1:30,43.8,18.3,0,0,0
1/3/2019 1:45,44.1,18.3,0,0,0
1/3/2019 2:00,45.6,17.9,0,0,0
1/3/2019 2:15,46.9,17.5,0,0,0
1/3/2019 2:30,46.6,17.6,0,0,0
1/3/2019 2:45,46.9,17.6,0,0,0
1/3/2019 3:00,47.5,17.4,0,0,0
1/3/2019 3:15,46.9,17.5,0,0,0
1/3/2019 3:30,47.3,17.3,0,0,0
1/3/2019 3:45,47.7,17.1,0,0,0
1/3/2019 4:00,47.9,16.9,0,0,0
1/3/2019 4:15,48.4,16.7,0,0,0
1/3/2019 4:30,49.4,16.3,0,0,0
1/3/2019 4:45,48.8,16.5,0,0,0
1/3/2019 5:00,49.8,16.1,0,0,0
1/3/2019 5:15,51.3,16.2,0,0,0
1/3/2019 5:30,50.7,16.5,0,0,0
1/3/2019 5:45,51.6,16.4,0,0,0
1/3/2019 6:00,51.9,15.9,0,0,0
1/3/2019 6:15,52.9,15.7,0,0,0
1/3/2019 6:30,54.5,15.5,0,0,0
1/3/2019 6:45,53.7,15.8,0,0,0
1/3/2019 7:00,53.9,15.8,0,0,0
1/3/2019 7:15,53.8,15.9,0,0,0
1/3/2019 7:30,53.7,16.4,0,0,0
1/3/2019 7:45,57.1,16.9,0,0,0
1/3/2019 8:00,61.7,17.4,0,0,0
1/3/2019 8:15,60.3,18,0,0,0
1/3/2019 8:30,57.4,18.3,0,0,0
1/3/2019 8:45,55,18.8,0,0,0
1/3/2019 9:00,51.6,19.3,0,0,0
1/3/2019 9:15,49.5,19.9,0,0,0
1/3/2019 9:30,49.1,20.4,0,0,0
1/3/2019 9:45,51.2,20.4,0,0,0
1/3/2019 10:00,52.4,20.6,0,0,0
1/3/2019 10:15,51.9,21,0,0,0
1/3/2019 10:30,51.1,21.2,0,0,0
1/3/2019 10:45,48.6,21.7,0,0,0
1/3/2019 11:00,46.9,22.2,0,0,0
1/3/2019 11:15,46.4,22.4,0,0,0
1/3/2019 11:30,45.2,22.8,0,0,0
1/3/2019 11:45,45,23.2,0,0,0
1/3/2019 12:00,46.6,23.4,0,0,0
1/3/2019 12:15,47,23.7,0,0,0
1/3/2019 12:30,45.4,24,0,0,0
1/3/2019 12:45,44.1,24.4,0,0,0
1/3/2019 13:00,41.6,24.8,0,0,0
1/3/2019 13:15,40.5,24.8,0,0,0
1/3/2019 13:30,38.9,25.1,0,0,0
1/3/2019 13:45,37.6,25.4,0,0,0
1/3/2019 14:00,36.5,25.4,0,0,0
1/3/2019 14:15,35.3,25.5,0,0,0
1/3/2019 14:30,34.4,25.5,0,0,0
1/3/2019 14:45,33.5,25.7,0,0,0
1/3/2019 15:00,33.6,25.9,0,0,0
1/3/2019 15:15,33.1,25.8,0,0,0
1/3/2019 15:30,31.8,26,0,0,0
1/3/2019 15:45,31.3,26,0,0,0
1/3/2019 16:00,32.2,25.7,0,0,0
1/3/2019 16:15,32.3,25.6,0,0,0
1/3/2019 16:30,30.7,25.5,0,0,0
1/3/2019 16:45,29.7,25.3,0,0,0
1/3/2019 17:00,29.2,25,0,0,0
1/3/2019 17:15,28.8,24.7,0,0,0
1/3/2019 17:30,30.9,24.3,0,0,0
1/3/2019 17:45,33.7,23.8,0,0,0
1/3/2019 18:00,36.1,23.3,0,0,0
1/3/2019 18:15,37.3,22.9,0,0,0
1/3/2019 18:30,38.9,22.5,0,0,0
1/3/2019 18:45,39.3,22.3,0,0,0
1/3/2019 19:00,40.6,22.1,0,0,0
1/3/2019 19:15,41,22,0,0,0
1/3/2019 19:30,42.5,21.8,0,0,0
1/3/2019 19:45,43.5,21.6,0,0,0
1/3/2019 20:00,44,21.5,0,0,0
1/3/2019 20:15,44.4,21.3,0,0,0
1/3/2019 20:30,44.4,21.2,0,0,0
1/3/2019 20:45,44.6,20.8,0,0,0
1/3/2019 21:00,44.7,20.4,0,0,0
1/3/2019 21:15,45.1,20.2,0,0,0
1/3/2019 21:30,46.8,20.1,0,0,0
1/3/2019 21:45,48.6,19.9,0,0,0
1/3/2019 22:00,50.7,19.7,0,0,0
1/3/2019 22:15,52.2,19.5,0,0,0
1/3/2019 22:30,53.3,19.4,0,0,0
1/3/2019 22:45,54.7,19,0,0,0
1/3/2019 23:00,55.9,18.8,0,0,0
1/3/2019 23:15,57.1,18.7,0,0,0
1/3/2019 23:30,58.7,18.5,0,0,0
1/3/2019 23:45,59.1,18.6,0,0,0
1/4/2019 0:00,59.3,18.7,0,0,0
1/4/2019 0:15,59.1,18.8,0,0,0
1/4/2019 0:30,59,19,0,0,0
1/4/2019 0:45,59.9,18.8,0,0,0
1/4/2019 1:00,61.5,18.5,0,0,0
1/4/2019 1:15,63.4,18.2,0,0,0
1/4/2019 1:30,65.2,17.8,0,0,0
1/4/2019 1:45,67.3,17.5,0,0,0
1/4/2019 2:00,68.3,17.2,0,0,0
1/4/2019 2:15,70.1,16.9,0,0,0
1/4/2019 2:30,71.7,16.7,0,0,0
1/4/2019 2:45,73.6,16.5,0,0,0
1/4/2019 3:00,75.7,16.3,0,0,0
1/4/2019 3:15,77.2,16.1,0,0,0
1/4/2019 3:30,78.6,15.9,0,0,0
1/4/2019 3:45,79.7,15.7,0,0,0
1/4/2019 4:00,80.8,15.5,0,0,0
1/4/2019 4:15,82.3,15.4,0,0,0
1/4/2019 4:30,83.6,15.1,0,0,0
1/4/2019 4:45,85.3,14.9,0,0,0
1/4/2019 5:00,86.4,14.7,0,0,0
1/4/2019 5:15,87.1,14.6,0,0,0
1/4/2019 5:30,87.4,14.5,0,0,0
1/4/2019 5:45,87.5,14.4,0,0,0
1/4/2019 6:00,87.3,14.4,0,0,0
1/4/2019 6:15,86.7,14.4,0,0,0
1/4/2019 6:30,86.5,14.2,0,0,0
1/4/2019 6:45,86.5,14.2,0,0,0
1/4/2019 7:00,86.8,14.2,0,0,0
1/4/2019 7:15,85.7,14.4,0,0,0
1/4/2019 7:30,84.1,14.8,0,0,0
1/4/2019 7:45,83.5,15,0,0,0
1/4/2019 8:00,81.4,15.3,0,0,0
1/4/2019 8:15,81.1,15.3,0,0,0
1/4/2019 8:30,78.8,15.6,0,0,0
1/4/2019 8:45,77.8,15.8,0,0,0
1/4/2019 9:00,74.4,16.6,0,0,0
1/4/2019 9:15,73.9,16.8,0,0,0
1/4/2019 9:30,69.6,17.7,0,0,0
1/4/2019 9:45,67.9,18.1,0,0,0
1/4/2019 10:00,67,18.3,0,0,0
1/4/2019 10:15,64,18.9,0,0,0
1/4/2019 10:30,61.8,19.2,0,0,0
1/4/2019 10:45,57.9,19.6,0,0,0
1/4/2019 11:00,52.9,20.5,0,0,0
1/4/2019 11:15,50.1,20.8,0,0,0
1/4/2019 11:30,47.4,21.2,0,0,0
1/4/2019 11:45,46.6,21.4,0,0,0
1/4/2019 12:00,44.1,21.4,0,0,0
1/4/2019 12:15,41,21.7,0,0,0
1/4/2019 12:30,39.8,21.8,0,0,0
1/4/2019 12:45,36.4,22.2,0,0,0
1/4/2019 13:00,29.8,22.6,0,0,0
1/4/2019 13:15,26.7,22.9,0,0,0
1/4/2019 13:30,25.4,22.9,0,0,0
1/4/2019 13:45,25,22.8,0,0,0
1/4/2019 14:00,24.5,23.2,0,0,0
1/4/2019 14:15,23.7,23.2,0,0,0
1/4/2019 14:30,23.8,23.5,0,0,0
1/4/2019 14:45,22.4,23.6,0,0,0
1/4/2019 15:00,21.3,23.7,0,0,0
1/4/2019 15:15,20.8,23.7,0,0,0
1/4/2019 15:30,21.4,23.7,0,0,0
1/4/2019 15:45,22.2,23.8,0,0,0
1/4/2019 16:00,23.7,23.9,0,0,0
1/4/2019 16:15,25.4,23.7,0,0,0
1/4/2019 16:30,26,23.5,0,0,0
1/4/2019 16:45,26.3,23.2,0,0,0
1/4/2019 17:00,25.3,23.1,0,0,0
1/4/2019 17:15,25.7,22.9,0,0,0
1/4/2019 17:30,27.1,22.6,0,0,0
1/4/2019 17:45,27.6,22.2,0,0,0
1/4/2019 18:00,25.8,22,0,0,0
1/4/2019 18:15,24.5,21.6,0,0,0
1/4/2019 18:30,24.1,21.3,0,0,0
1/4/2019 18:45,24.5,21,0,0,0
1/4/2019 19:00,25.1,20.8,0,0,0
1/4/2019 19:15,25.6,20.6,0,0,0
1/4/2019 19:30,26.6,20.5,0,0,0
1/4/2019 19:45,28.5,20.3,0,0,0
1/4/2019 20:00,30,19.9,0,0,0
1/4/2019 20:15,30.1,19.5,0,0,0
1/4/2019 20:30,30.7,19.4,0,0,0
1/4/2019 20:45,32,19,0,0,0
1/4/2019 21:00,33.2,18.6,0,0,0
1/4/2019 21:15,34.3,18.3,0,0,0
1/4/2019 21:30,35.9,18,0,0,0
1/4/2019 21:45,37.3,17.7,0,0,0
1/4/2019 22:00,38.3,17.5,0,0,0
1/4/2019 22:15,39,17.2,0,0,0
1/4/2019 22:30,39.5,17,0,0,0
1/4/2019 22:45,39.6,17,0,0,0
1/4/2019 23:00,39.9,17.1,0,0,0
1/4/2019 23:15,40,17.2,0,0,0
1/4/2019 23:30,40.2,17.2,0,0,0
1/4/2019 23:45,40.4,17.3,0,0,0
1/5/2019 0:00,41.4,17.1,0,0,0
1/5/2019 0:15,42.2,17.1,0,0,0
1/5/2019 0:30,43.9,16.2,0,0,0
1/5/2019 0:45,45.2,15.8,0,0,0
1/5/2019 1:00,45.9,15.5,0,0,0
1/5/2019 1:15,47.2,14.9,0,0,0
1/5/2019 1:30,48.6,14.3,0,0,0
1/5/2019 1:45,49.6,14,0,0,0
1/5/2019 2:00,50.4,13.8,0,0,0
1/5/2019 2:15,50.3,13.8,0,0,0
1/5/2019 2:30,51.5,13.5,0,0,0
1/5/2019 2:45,52.7,13.1,0,0,0
1/5/2019 3:00,51.6,13.5,0,0,0
1/5/2019 3:15,51.8,13.6,0,0,0
1/5/2019 3:30,52.6,13.6,0,0,0
1/5/2019 3:45,54.1,13.2,0,0,0
1/5/2019 4:00,55.2,13,0,0,0
1/5/2019 4:15,56.1,12.8,0,0,0
1/5/2019 4:30,56.5,12.6,0,0,0
1/5/2019 4:45,59.1,11.9,0,0,0
1/5/2019 5:00,60,11.7,0,0,0
1/5/2019 5:15,59.7,11.8,0,0,0
1/5/2019 5:30,60.4,11.7,0,0,0
1/5/2019 5:45,61.1,11.6,0,0,0
1/5/2019 6:00,61.8,11.5,0,0,0
1/5/2019 6:15,61.9,11.5,0,0,0
1/5/2019 6:30,61.1,11.8,0,0,0
1/5/2019 6:45,61.1,11.8,0,0,0
1/5/2019 7:00,60.4,12,0,0,0
1/5/2019 7:15,56.7,13.3,0,0,0
1/5/2019 7:30,53.1,14.7,0,0,0
1/5/2019 7:45,49.5,16,0,0,0
1/5/2019 8:00,47.7,16.9,0,0,0
1/5/2019 8:15,47.3,17.5,0,0,0
1/5/2019 8:30,46.7,18,0,0,0
1/5/2019 8:45,46.5,18.3,0,0,0
1/5/2019 9:00,45.6,19,0,0,0
1/5/2019 9:15,46.2,19.2,0,0,0
1/5/2019 9:30,46.1,19.6,0,0,0
1/5/2019 9:45,44.3,19.9,0,0,0
1/5/2019 10:00,44.1,20.1,0,0,0
1/5/2019 10:15,42.9,20.4,0,0,0
1/5/2019 10:30,41.5,21.1,0,0,0
1/5/2019 10:45,39.5,21.1,0,0,0
1/5/2019 11:00,36.8,21.3,0,0,0
1/5/2019 11:15,35.4,21.7,0,0,0
1/5/2019 11:30,35.4,22.1,0,0,0
1/5/2019 11:45,34.6,22.7,0,0,0
1/5/2019 12:00,34.3,22.6,0,0,0
1/5/2019 12:15,32.8,23.2,0,0,0
1/5/2019 12:30,31.1,23.7,0,0,0
1/5/2019 12:45,29.7,23.8,0,0,0
1/5/2019 13:00,29.9,23.9,0,0,0
1/5/2019 13:15,29,24.2,0,0,0
1/5/2019 13:30,28,24.4,0,0,0
1/5/2019 13:45,27.6,24.4,0,0,0
1/5/2019 14:00,27.1,25,0,0,0
1/5/2019 14:15,27.4,24.7,0,0,0
1/5/2019 14:30,26.8,25.1,0,0,0
1/5/2019 14:45,26.8,24.8,0,0,0
1/5/2019 15:00,26.1,24.8,0,0,0
1/5/2019 15:15,25.3,25,0,0,0
1/5/2019 15:30,25.2,25,0,0,0
1/5/2019 15:45,25.2,24.7,0,0,0
1/5/2019 16:00,25.1,24.7,0,0,0
1/5/2019 16:15,25.1,24.6,0,0,0
1/5/2019 16:30,25.3,24.5,0,0,0
1/5/2019 16:45,25.4,24.3,0,0,0
1/5/2019 17:00,25.9,24.1,0,0,0
1/5/2019 17:15,25.9,23.8,0,0,0
1/5/2019 17:30,25.8,23.6,0,0,0
1/5/2019 17:45,26.8,23,0,0,0
1/5/2019 18:00,27.6,22.6,0,0,0
1/5/2019 18:15,26.6,22.3,0,0,0
1/5/2019 18:30,25.5,21.8,0,0,0
1/5/2019 18:45,25.2,21.5,0,0,0
1/5/2019 19:00,25.2,20.9,0,0,0
1/5/2019 19:15,24.2,20.8,0,0,0
1/5/2019 19:30,23.9,20.7,0,0,0
1/5/2019 19:45,24.6,20.2,0,0,0
1/5/2019 20:00,25.6,19.7,0,0,0
1/5/2019 20:15,26.8,19.2,0,0,0
1/5/2019 20:30,27.4,19.1,0,0,0
1/5/2019 20:45,28.2,18.9,0,0,0
1/5/2019 21:00,29.1,18.9,0,0,0
1/5/2019 21:15,29.8,18.9,0,0,0
1/5/2019 21:30,30.4,18.7,0,0,0
1/5/2019 21:45,30.6,18.8,0,0,0
1/5/2019 22:00,30.2,19,0,0,0
1/5/2019 22:15,30,18.9,0,0,0
1/5/2019 22:30,30.9,18.5,0,0,0
1/5/2019 22:45,30.9,18.4,0,0,0
1/5/2019 23:00,31,18.3,0,0,0
1/5/2019 23:15,31.5,18.2,0,0,0
1/5/2019 23:30,32.2,17.9,0,0,0
1/5/2019 23:45,32.8,17.7,0,0,0
1/6/2019 0:00,33.5,17.4,0,0,0
1/6/2019 0:15,33.8,17.3,0,0,0
1/6/2019 0:30,34.4,17.3,0,0,0
1/6/2019 0:45,35.3,17.3,0,0,0
1/6/2019 1:00,36.4,17.1,0,0,0
1/6/2019 1:15,37.8,16.5,0,0,0
1/6/2019 1:30,39.5,15.8,0,0,0
1/6/2019 1:45,40.3,15.3,0,0,0
1/6/2019 2:00,41.2,15,0,0,0
1/6/2019 2:15,42.2,15.1,0,0,0
1/6/2019 2:30,42.3,15.4,0,0,0
1/6/2019 2:45,43.1,15.3,0,0,0
1/6/2019 3:00,43.9,15,0,0,0
1/6/2019 3:15,44.5,14.9,0,0,0
1/6/2019 3:30,44.9,14.8,0,0,0
1/6/2019 3:45,46.1,14.4,0,0,0
1/6/2019 4:00,47.2,14.1,0,0,0
1/6/2019 4:15,48.4,13.8,0,0,0
1/6/2019 4:30,49.5,13.5,0,0,0
1/6/2019 4:45,50.3,13.3,0,0,0
1/6/2019 5:00,51.4,13,0,0,0
1/6/2019 5:15,51.9,12.9,0,0,0
1/6/2019 5:30,52.6,12.7,0,0,0
1/6/2019 5:45,53.5,12.5,0,0,0
1/6/2019 6:00,54.2,12.3,0,0,0
1/6/2019 6:15,55.5,12,0,0,0
1/6/2019 6:30,55.7,12,0,0,0
1/6/2019 6:45,57.8,11.8,0,0,0
1/6/2019 7:00,60.1,11.5,0,0,0
1/6/2019 7:15,54,13,0,0,0
1/6/2019 7:30,47,15.1,0,0,0
1/6/2019 7:45,44.6,16,0,0,0
1/6/2019 8:00,43.1,16.7,0,0,0
1/6/2019 8:15,42.5,16.8,0,0,0
1/6/2019 8:30,41.6,17.1,0,0,0
1/6/2019 8:45,40.2,17.6,0,0,0
1/6/2019 9:00,39.1,18.1,0,0,0
1/6/2019 9:15,37.5,18.3,0,0,0
1/6/2019 9:30,35.4,18.9,0,0,0
1/6/2019 9:45,35.2,19.2,0,0,0
1/6/2019 10:00,34.4,19.9,0,0,0
1/6/2019 10:15,33.6,20.2,0,0,0
1/6/2019 10:30,32.9,20.3,0,0,0
1/6/2019 10:45,31.6,20.4,0,0,0
1/6/2019 11:00,30.3,21.3,0,0,0
1/6/2019 11:15,28.9,21.6,0,0,0
1/6/2019 11:30,28,21.6,0,0,0
1/6/2019 11:45,26.3,21.9,0,0,0
1/6/2019 12:00,25.9,22.7,0,0,0
1/6/2019 12:15,25.8,22.7,0,0,0
1/6/2019 12:30,25.3,22.9,0,0,0
1/6/2019 12:45,24.8,23.4,0,0,0
1/6/2019 13:00,23.8,23.6,0,0,0
1/6/2019 13:15,23.5,23.8,0,0,0
1/6/2019 13:30,22,24.2,0,0,0
1/6/2019 13:45,21.8,24.4,0,0,0
1/6/2019 14:00,21,24.2,0,0,0
1/6/2019 14:15,20.4,24.6,0,0,0
1/6/2019 14:30,18.3,24.4,0,0,0
1/6/2019 14:45,18.5,24.3,0,0,0
1/6/2019 15:00,18,24.6,0,0,0
1/6/2019 15:15,16.9,24.7,0,0,0
1/6/2019 15:30,16.1,24.8,0,0,0
1/6/2019 15:45,16,24.7,0,0,0
1/6/2019 16:00,16.6,24.7,0,0,0
1/6/2019 16:15,17.4,24,0,0,0
1/6/2019 16:30,17.4,23.8,0,0,0
1/6/2019 16:45,16.1,24.1,0,0,0
1/6/2019 17:00,17,23.8,0,0,0
1/6/2019 17:15,17.6,23.5,0,0,0
1/6/2019 17:30,17,23.1,0,0,0
1/6/2019 17:45,16.8,22.9,0,0,0
1/6/2019 18:00,16.8,22.6,0,0,0
1/6/2019 18:15,16.8,22.3,0,0,0
1/6/2019 18:30,17.5,21.7,0,0,0
1/6/2019 18:45,17.8,21.2,0,0,0
1/6/2019 19:00,18.4,20.8,0,0,0
1/6/2019 19:15,19,20.4,0,0,0
1/6/2019 19:30,19.8,20.1,0,0,0
1/6/2019 19:45,22.1,19.7,0,0,0
1/6/2019 20:00,23.1,19.5,0,0,0
1/6/2019 20:15,23.4,19.1,0,0,0
